gid,f_code,f_level,ocean,f_area,f_subarea,f_division,f_subdivis,f_subunit,sfp_identifier,name_en,name_es
1,18,MAJOR,Arctic,18,,,,,FAO 18,Arctic Sea,Mar Ártico
2,61,MAJOR,Pacific,61,,,,,FAO 61,"Pacific, Northwest","Pacífico, noroeste"
3,67,MAJOR,Pacific,67,,,,,FAO 67,"Pacific, Northeast","Pacífico, nordeste"
4,37,MAJOR,Atlantic,37,,,,,FAO 37,Mediterranean and Black Sea,Mediterráneo y Mar Negro
5,27,MAJOR,Atlantic,27,,,,,FAO 27,"Atlantic, Northeast","Atlántico, nordeste"
6,31,MAJOR,Atlantic,31,,,,,FAO 31,"Atlantic, Western Central","Atlántico, centro-occidental"
7,34,MAJOR,Atlantic,34,,,,,FAO 34,"Atlantic, Eastern Central","Atlántico, centro-oriental"
8,51,MAJOR,Indian,51,,,,,FAO 51,"Indian Ocean, Western","Océano Índico, occidental"
9,57,MAJOR,Indian,57,,,,,FAO 57,"Indian Ocean, Eastern","Océano Índico, oriental"
10,71,MAJOR,Pacific,71,,,,,FAO 71,"Pacific, Western Central","Pacífico, centro-occidental"
11,87,MAJOR,Pacific,87,,,,,FAO 87,"Pacific, Southeast","Pacífico, sudoriental"
12,41,MAJOR,Atlantic,41,,,,,FAO 41,"Atlantic, Southwest","Atlántico, sudoccidental"
13,81,MAJOR,Pacific,81,,,,,FAO 81,"Pacific, Southwest","Pacífico, sudoccidental"
14,58,MAJOR,Indian,58,,,,,FAO 58,"Indian Ocean, Antarctic","Océano Índico, Antártico"
15,48,MAJOR,Atlantic,48,,,,,FAO 48,"Atlantic, Antarctic","Atlántico, Antártico"
16,88,MAJOR,Pacific,88,,,,,FAO 88,"Pacific, Antarctic","Pacífico, Antártico"
17,77,MAJOR,Pacific,77,,,,,FAO 77,"Pacific, Eastern Central","Pacífico, centro-oriental"
18,47,MAJOR,Atlantic,47,,,,,FAO 47,"Atlantic, Southeast","Atlántico, sudoriental"
19,21,MAJOR,Atlantic,21,,,,,FAO 21,"Atlantic, Northwest","Atlántico, noroeste"
20,37.4,SUBAREA,Atlantic,37,37.4,,,,FAO 37.4,Black Sea subarea,Subárea mar Negro
21,37.1,SUBAREA,Atlantic,37,37.1,,,,FAO 37.1,Western subarea,Subárea occidental
22,27.12,SUBAREA,Atlantic,27,27.12,,,,FAO 27.12,North of Azores (Subarea 27.12),Norte de las Azores (Subárea 27.12)
23,37.2,SUBAREA,Atlantic,37,37.2,,,,FAO 37.2,Central subarea,Subárea central
24,37.3,SUBAREA,Atlantic,37,37.3,,,,FAO 37.3,Eastern subarea,Subárea oriental
25,34.2,SUBAREA,Atlantic,34,34.2,,,,FAO 34.2,Northern oceanic subarea,Subárea oceánica norte
26,34.1,SUBAREA,Atlantic,34,34.1,,,,FAO 34.1,Northern coastal subarea,Subárea costera norte
27,51.2,SUBAREA,Indian,51,51.2,,,,FAO 51.2,Gulf subarea,Subárea Golfo
28,57.1,SUBAREA,Indian,57,57.1,,,,FAO 57.1,"Indian Ocean, East / 57.1",Ind E / 57.1
29,34.4,SUBAREA,Atlantic,34,34.4,,,,FAO 34.4,Southern oceanic subarea,Subárea oceánica sur
30,34.3,SUBAREA,Atlantic,34,34.3,,,,FAO 34.3,Southern coastal subarea,Subárea costera sur
36,51.7,SUBAREA,Indian,51,51.7,,,,FAO 51.7,"Indian Ocean, West / 51.7",Ind W / 51.7
31,51.5,SUBAREA,Indian,51,51.5,,,,FAO 51.5,"Indian Ocean, West / 51.5",Ind W / 51.5
32,87.1,SUBAREA,Pacific,87,87.1,,,,FAO 87.1,"Pacific, Southeast / 87.1","Pacific, Southeast / 87.1"
33,41.1,SUBAREA,Atlantic,41,41.1,,,,FAO 41.1,"Atlantic, Southwest / 41.1",Atl SW / 41.1
34,57.2,SUBAREA,Indian,57,57.2,,,,FAO 57.2,"Indian Ocean, East / 57.2",Ind E / 57.2
35,51.6,SUBAREA,Indian,51,51.6,,,,FAO 51.6,"Indian Ocean, West / 51.6",Ind W / 51.6
37,51.8,SUBAREA,Indian,51,51.8,,,,FAO 51.8,"Indian Ocean, West / 51.8",Ind W / 51.8
38,57.5,SUBAREA,Indian,57,57.5,,,,FAO 57.5,"Indian Ocean, East / 57.5",Ind E / 57.5
