isscfg,standard_abbreviation,gear_name,gear_group,description
03.11,TBB,Beam trawls,Bottom trawls,"A beam trawl consists of a cone-shaped body ending in a bag or codend, which retains the catch. In these trawls the horizontal opening of the net is provided by a beam, made of wood or metal, which is up to 12 m long. The vertically opening is provided by two hoop-like trawl mostly made from steel. No hydrodynamic forces are needed to keep a beam trawl open. This technique is very successful used in many parts of the world for catching shrimp and flatfish normally in shallower depth than 100 meters. http://www.fao.org/fishery/geartype/305/en"
03.12,OTB,Single boat bottom otter trawls,Bottom trawls,"A bottom otter trawl is a cone-shaped net consisting of a body, normally made from two, four and sometimes more panels, closed by one or two codends and with lateral wings extending forward from the opening. A bottom trawl is kept open horizontally by two otter boards. Bottom trawls usually have an extended top panel (square) to prevent fish from escaping upwards over the top of the net. The mouth of the trawl is framed by an headline with floats to open the trawl vertically and a ground gear, which is designed according to the bottom condition on the fishing ground so as to maximise the capture of targets living close to the bottom and at the same time protect the gear from damage and to facilitate movements across uneven bottom. Bottom otter trawls are operated all over the world in a very wide range of depths (from a few meters to around 1 500-2 000 m), mainly at sea, but also, in some cases in inland waters e.g. lakes. Bottom and demersal species are targeted. http://www.fao.org/fishery/geartype/306/en"
03.13,OTT,Twin bottom otter trawls,Bottom trawls,"A bottom otter trawl is a cone-shaped net consisting of a body, normally made from two, four and sometimes more panels, closed by one or two codends and with lateral wings extending forward from the opening. A bottom trawl is kept open horizontally by two otter boards. In twin otter trawls a boat is rigged to tow two parallel trawls from the stern or from two outriggers. Bottom otter trawls can be operated in a very wide range of depths (from a few meters to around 1 500-2 000 m), mainly at sea, but also, in some cases in inland waters e.g. lakes all over the world. Bottom and demersal species are the targets. http://www.fao.org/fishery/geartype/306/en"
03.14,OTP,Multiple bottom otter trawls,Bottom trawls,"A bottom otter trawl is a cone-shaped net consisting of a body, normally made from two, four and sometimes more panels, closed by one or two codends and with lateral wings extending forward from the opening. A bottom trawl is kept open horizontally by two otter boards. In multiple otter trawls a boat is rigged to tow three or more parallel trawls from the stern or from outriggers. Bottom otter trawls can be operated in a very wide range of depths (from a few meters to around 1 500-2 000 m), mainly at sea, but also, in some cases in inland waters e.g. lakes all over the world. Bottom and demersal species are the targets.http://www.fao.org/fishery/geartype/306/en"
03.15,PTB,Bottom pair trawls,Bottom trawls,"A bottom pair trawl consists of a cone-shaped body, normally made of two or four (and sometimes more) panels, closed by a codend and with lateral wings extending forward from the opening. Bottom pair trawling is operated by two vessels, each towing a trawl warp attached to the bridles in front of the two trawl wings. One of the vessels is handling the trawl and takes the catch. The other is only a towing vessel. Bottom pair trawls are operated in very shallow waters (2-5 meters) to depths down to 5-800 meters, in marine and inland waters all over the world. They target bottom fish, including flatfish and, to a lesser extent, shrimp."
03.19,TB,,Bottom trawls,"A bottom trawl is constructed like a cone-shaped net that is towed (by one or two boats) on the bottom. It consists of a body ending in a codend, which retains the catch. Normally the net has two lateral wings extending forward from the opening. The mouth of the trawl is framed by headline and groundrope. It is designed and rigged to catch species living on or near the bottom. Bottom contact with the gear is needed for successful operations. Three categories of bottom trawls can be distinguished based on how their horizontal opening is maintained: beam trawls, bottom otter trawls, and bottom pair trawls. Beam trawls are commonly designed without wings. http://www.fao.org/fishery/geartype/205/en"
03.3,TSP,Semipelagic trawls,Bottom trawls,"Semipelagic otter trawl (also called high-aspect semipelagic trawl or semidemersal trawl) fishes close to the seabed, with only the trawl boards, wing end weights and chain droppers coming in contact with the seabed.
http://fish.gov.au/fishing_methods/Pages/nets.aspx"
SFP-1,TSM,Small mesh bottom trawls,Bottom trawls,"Small mesh trawls are specialized variants of bottom trawls, used to catch e.g. northern shrimp and nephrops lobster around Iceland.http://www.fisheries.is/fisheries/fishing-gear/small-mesh-trawl/"
04.1,DRB,Towed dredges,Dredges,"Gears consisting of a mouth frame to which a holding bag constructed of metal rings or meshes is attached. Boat dredges are principally of two variants: dredges that scrape the surface of the bottom and dredges that penetrate the sea bottom to a depth of 30 cm or more to harvest macro-infauna. Some surface dredges include rakes or teeths to penetrate the top layer of substrate and capture animals recessed into the sea bed. Infaunal dredges can be further separated into those that penetrate the substrate by mechanical force (i.e. long teeth) and those that use water jets to fluidize the sediment (hydraulic dredges, considered under Mechanized dredges). Dredges are employed to catch a variety of bottom dwelling animals, like mussels, oysters, scallops, clams, sea cucumbers, etc. Dredges are operated mainly in coastal areas, but sometimes also in deeper waters on the continental shelf, as well as in inland waters all over the world. http://www.fao.org/fishery/geartype/212/en"
04.2,DRH,Hand dredges,Dredges,"Small, light dredges consisting of a mouth frame attached to a holding bag constructed of metal rings or meshes. No boat, or only small undecked vessels are employed. Hand dredges are employed to catch molluscs such as mussels, oysters, scallops, clams, etc. These dredges are operated by hand in shallow waters, from the shore or from a boat, either in inland and sea waters all over the world. http://www.fao.org/fishery/geartype/213/en"
04.3,DRM,Mechanized dredges,Dredges,"Hydraulic jet dredges are used to dig and to wash out mussels that have buried themselves in the seabed. Some dredges are so improved that the prey is not only dug out, or stirred up and collected in a bag, but is also conveyed on board the vessel by the same gear. Therefore this gear, combining collecting and hauling, can be considered a harvesting machine. This is especially true in cases where mechanical shellfish diggers are combined with suction pumps, escalators or conveyors. This method is used for harvesting shellfish from the sea bed in inshore and offshore sea waters all around the world. http://www.fao.org/fishery/geartype/239/en"
04.9,DRX,,Dredges,"Dredges are gears which are dragged along the bottom to catch shellfish. They consist of a mouth frame to which a holding bag constructed of metal rings or meshes is attached. There are two main type of dredges; heavy dredges towed by boats (boat dredges), and lighter ones operated by hand in shallow waters (hand dredges). http://www.fao.org/fishery/geartype/104/en"
06.1,FCN,Cast nets,Falling gear,"Circular net which is cast from the shore or from a small boat, but, in general, in shallow waters, to catch fish by falling and closing in on them. The cast net has a cone-shape, with weights attached to the perimeter. This kind of nets is used to catch fish swimming near the water surface, in rather shallow waters. Some species of shrimps are also captured with cast nets. Cast nets are employed in both, inland and marine waters, all over the world. Their use is usually restricted to rather shallow waters. http://www.fao.org/fishery/geartype/217/en"
