fao_name,common_names,fda_name,taxocode,code_3a,order,family,genus,specific_descriptor
Abalones nei,,,30703001XX,ABX,Gastropoda,Haliotidae,Haliotis,spp.
Acadian redfish,"Ocean perch, redfish",,1780100114,REN,Scorpaeniformes,Scorpaenidae,sebastes,fasciatus
,Acadian whitefish,,"",FS-322,Salmoniformes,Salmonidae,Coregonus,huntsmani
,Acevia,,1830308101,MIA,Pleuronectiformes,Soleidae,Microchirus,azevia
Acoupa weakfish,,,1703701601,YNA,Perciformes,Sciaenidae,Cynoscion,acoupa
,Adriatic Sturgeon,,1170100103,AAA,Acipenseriformes,Acipenseridae,Acipenser,naccarii
Adriatic sole,,,1830300713,OAM,Pleuronectiformes,Soleidae,Solea,impar
Aesop shrimp,"Striped shrimp, striped prawn, pink shrimp",,2280400205,AES,Natantia,Pandalidae,pandalus,montagui
African armoured searobin,,,1782200601,PJC,Scorpaeniformes,Peristediidae,Peristedion,cataphractum
African cuttlefish,,,3210200203,EJB,Cephalopoda,Sepiidae,Sepia,bertheloti
African red snapper,,,1703202735,LJA,Percoidei,Lutjanidae,Lutjanus,agennes
African squid,,,3210401303,OUK,Cephalopoda,Loliginidae,Alloteuthis,africana
African striped grunt,,,1703619705,GRA,Percoidei,Haemulidae,Parapristipoma,octolineatum
Agujon needlefish,,,1470101303,AND,Beloniformes,Belonidae,Tylosurus,acus
Alaska plaice,,,1830200408,ALP,Pleuronectiformes,Pleuronectidae,Pleuronectes,quadrituberculatus
Alaska pollock,"Walleye pollock, pollock, Минтай.",,1480400213,ALK,Gadiformes,Gadidae,Gadus,chalcogrammus
Albacore,,,1750102605,ALB,Scombroidei,Scombridae,Thunnus,alalunga
Alfonsino,,,1610200301,BXD,Beryciformes,Berycidae,Beryx,decadactylus
Allis shad,,,1210501104,ASD,Clupeiformes,Clupeidae,Alosa,alosa
Alloteuthis squids nei,,,32104013XX,OUW,Cephalopoda,Loliginidae,Alloteuthis,spp
,Almeja reina,,3161204002,ZEC,Bivalvia,Mactridae,Mulinia,edulis
Amberjacks nei,,,17023048XX,AMX,Percoidei,Carangidae,Seriola,spp.
American angler,"Monkfish, Goosefish ",,1950100103,ANG,Lophiiformes,Lophiidae,lophius,americanus
American cupped oyster,"Eastern oyster, Atlantic oyster,Virginia oyster",,3160700803,OYA,Bivalvia,Ostreidae,crassostrea,virginica
American eel,,,1430200206,ELA,Anguilliformes,Anguillidae,anguilla,rostrata
American lobster,,,2294200701,LBA,Reptantia,Nephropidae,Homarus,americanus
American plaice,Long rough dab,,1830201401,PLA,Pleuronectiformes,Pleuronectidae,hippoglossoides,platessoides
American sea scallop,,,3160801404,SCA,Bivalvia,Pectinidae,placopecten,magellanicus
American shad,Atlantic shad,,1210501103,SHA,Clupeiformes,Clupeidae,alosa,sapidissima
American slipper-limpet,,,3071300107,KDF,Gastropoda,Crepidulidae,Crepidula,fornicata
American yellow perch,Yellow perch,,1701400202,FPY,Percoidei,Percidae,Perca,flavescens
Amur catfish,,,1410703102,SRO,Siluriformes,Siluridae,Silurus,asotus
Anchoveta,,,1210600208,VET,Clupeiformes,Engraulidae,Engraulis,ringens
Anchoviellas nei,,,12106022XX,EVK,Clupeiformes,Engraulidae,Anchoviella,spp
Anchovies nei,,,12106002XX,ENR,Clupeiformes,Engraulidae,Engraulis,spp
Andalusian barbel,,,1400233816,BSL,Cypriniformes,Cyprinidae,Luciobarbus,sclateri
Angel octopus,,,3210906801,VAZ,Cephalopoda,Octopodidae,Velodona,togata
Angelshark,,,1090300401,AGN,Squaliformes,Squatinidae,Squatina,squatina
Angler,"monk, monkfish, white fish, white anglerfish",,1950100101,MON,Lophiiformes,Lophiidae,Lophius,piscatorius
Angolan dentex,,,1703906010,DEA,Percoidei,Sparidae,Dentex,angolensis
Annular seabream,,,1703903302,ANN,Percoidei,Sparidae,Diplodus,annularis
Antarctic krill,,,2260100501,KRI,Euphausiacea,Euphausiidae,Euphausia,superba
Antarctic krill nei,,,22601005XX,KRX,Euphausiacea,Euphausiidae,Euphausia,spp
Antarctic toothfish,,,1709201501,TOA,Percoidei,Nototheniidae,dissostichus,mawsoni
